learning_rate,epochs,batch_size,hidden_layer_sizes,mean_accuracy,std_accuracy,mean_time,std_time,total_time,episodes_run
0.1,25,256,"128,128,64",0.97312,0.005482481190118203,7.453157877922058,0.2015946915620654,74.53157877922058,10
0.05,35,256,"128,128,64",0.9728699999999998,0.0023108656386730884,10.403058671951294,0.48056226585441725,104.03058671951294,10
0.1,20,256,"128,128,64",0.97262,0.006185272831492566,5.943074369430542,0.15670137593191166,59.43074369430542,10
0.05,15,128,"128,128,64",0.9721600000000002,0.0012784365451597598,6.365745902061462,0.1426234337813204,63.657459020614624,10
0.05,25,192,"128,128,64",0.9719899999999999,0.0034077705321808576,8.506895565986634,0.24265899377113645,85.06895565986633,10
0.05,20,192,"128,128,64",0.9710000000000001,0.0018038846969803796,6.895342540740967,0.17031751890016888,68.95342540740967,10
0.15,10,256,"128,128,64",0.97043,0.0028948402373878968,2.954379153251648,0.14477886026042558,29.54379153251648,10
0.15,20,256,"128,128,64",0.9700999999999999,0.013154923032842124,5.998115038871765,0.06936021932634101,59.98115038871765,10
0.1,10,192,"128,128,64",0.9698799999999999,0.002810978477327792,3.3831006050109864,0.2300514427078791,33.83100605010986,10
0.05,25,256,"128,128,64",0.96907,0.003997011383521438,7.451091885566711,0.17107303144500724,74.51091885566711,10
0.1,15,256,"128,128,64",0.969,0.003659234892706406,4.420503044128418,0.24255481718850383,44.20503044128418,10
0.05,30,256,"128,128,64",0.9681599999999999,0.010855063334683968,9.118690824508667,0.2955678820953565,91.18690824508667,10
0.05,10,128,"128,128,64",0.96775,0.0014037449910863423,4.308715009689331,0.3594960842926024,43.08715009689331,10
0.05,20,256,"128,128,64",0.96715,0.002117663807123327,6.093540620803833,0.14704314478452493,60.93540620803833,10
0.05,15,192,"128,128,64",0.96634,0.0014465130486794675,5.390013408660889,0.40664305599232936,53.90013408660889,10
0.1,10,256,"128,128,64",0.9655799999999999,0.0033331066589594575,2.9723687171936035,0.13391569680673407,29.723687171936035,10
0.05,15,256,"128,128,64",0.9593999999999999,0.003481379037105838,4.460796666145325,0.1373816282537313,44.60796666145325,10
0.05,10,192,"128,128,64",0.95839,0.0024529370150902898,3.340674948692322,0.1488209032173987,33.40674948692322,10
0.1,35,192,"128,128,64",0.9521599999999999,0.077124590112363,11.96332597732544,0.1949031000518145,119.6332597732544,10
0.05,10,256,"128,128,64",0.94815,0.003629944903163138,2.981133556365967,0.17114649899144352,29.811335563659668,10
